,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Place Info,Retweets,Favorites,Language,Source
95,"RT @incinobeastar: Bien, ya tenemos un primer vistazo a la nueva voz de Jessie en Pokémon tras el triste fallecimiento de Diana Pérez, pers…",2021-09-17 04:18:21,1438718945318608897,InciThai,en la animacion XD,2,0,es,Twitter for Android
96,RT @CentroPokemon: Ya están empezando a llegar las Oreo de Pokémon 🔥 https://t.co/xncUjEadjo,2021-09-17 04:18:13,1438718911873179650,pelaez_oro,q mondá t importa ,137,0,es,Twitter for iPhone
97,"Tenía un crush bien cañón por alguien. Fuimos ""casi algo"" salimos y de un día para otro todo acabó (aun duele pero ahí vamos tratando de seguir)
Hoy después de mucho abrí Pokemon Go y voy viendo todos los Eevees que atrape con el y regalos que mando.

Weeee 😖así no se puede!",2021-09-17 04:18:03,1438718871691673601,soyisma24,,0,1,es,Twitter for Android
98,Empiezo a pensar que aún no es tan seguro ya que en Netflix no hay Pokémon el mes de Octubre salvo vaya hasta Diciembre así que todavía pueden dar la sorpresa entre Noviembre y Diciembre en CNLA https://t.co/b6LW2taLr4,2021-09-17 04:18:03,1438718870479593475,PikOshLi,"Guayaquil, Ecuador",0,0,es,Twitter for iPhone
99,"@_nomalla Si encuentras un Zok o cualquier pokemon de lucha llámalo Yen por mi, si? :3",2021-09-17 04:17:04,1438718622600470528,YenMorganS,,0,0,es,Twitter for Android
100,RT @CleverSafo: Quiero hacer un estudio muy serio para descubrir por qué a los gays les gusta tanto Pokémon,2021-09-17 04:16:37,1438718511065485315,_rogersan,,6,0,es,Twitter for Android
101,@CleverSafo A mi me gusta Pokémon pero oye sí,2021-09-17 04:16:30,1438718480510066691,anarmadillo2,,0,0,es,Twitter Web App
102,"Hace algún tiempo, sobre el año 775, la creativa entrenadora pokémon Dina Ortega dijo: hace buen día para comprar huaweis",2021-09-17 04:15:25,1438718206890360842,CelebresBot,,0,0,es,"Cheap Bots, Done Quick!"
103,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:15:15,1438718167036178435,Fabian_PorrasS,"San José, Costa Rica",357,0,es,Twitter for Android
104,"RT @pokexperto: Nuevo evento de Incursiones Dinamax en Pokémon Espada y Escudo:

📅 17 a 19 de septiembre
➡️ Lunatone Shiny 💫
➡️ Solrock Shi…",2021-09-17 04:14:46,1438718044696715276,edwardroma3,,16,0,es,Twitter for Android
105,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:14:19,1438717930464759809,LuisChamorro97,Martos,357,0,es,Twitter for Android
106,RT @CentroPokemon: Ya están empezando a llegar las Oreo de Pokémon 🔥 https://t.co/xncUjEadjo,2021-09-17 04:14:02,1438717858125656067,K3Vdany,Guatemala,137,0,es,Twitter for Android
107,"RT @_Jerryl1: Abro hilo sobre los Pokémon basados en México
Opening thread from Mexico-themed Pokémon

#Ludicolo: El Pokémon Optimista/Care…",2021-09-17 04:13:36,1438717749664964608,powerofgayskull,downtown coolsville,66,0,es,Twitter Web App
108,"Pokémon salió el tema y resulta que era el dueño de la cuenta de correo t_rex, así que aprovecharé la ocasión para mandar un gran saludo al Joaco https://t.co/ivsejRo4Nl",2021-09-17 04:12:25,1438717452406382594,folken718,,0,0,es,Twitter for Android
