,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source,Tweet Text_cln,Subjectivity,Polarity
150,@Maximus2938 @NacionOlimpista @hugo_app @CDOlimpia Los esta barriendo,2021-09-14 17:34:10,1437832054243315721,jcramosmo,en la luna ,0,1,es,Twitter for Android,  _app  Los esta barriendo,0.0,0.0
151,"@jcramosmo @NacionOlimpista @hugo_app @CDOlimpia Y solo esta semana, no digamos más antes 😂🥊CM🤕",2021-09-14 17:31:33,1437831399071961089,Maximus2938,Honduras,0,1,es,Twitter for Android,"  _app  Y solo esta semana, no digamos más antes 😂🥊CM🤕",0.0,0.0
152,@NacionOlimpista @hugo_app Llevan 3 a 0 al CM de @CDOlimpia .. Vamos Nación. 🙊😂,2021-09-14 17:27:48,1437830453310984200,_Keko__,El Hades,0,1,es,Twitter for Android, _app Llevan 3 a 0 al CM de  .. Vamos Nación. 🙊😂,0.0,0.0
153,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:27:06,1437830276328079376,DennisFernnde10,Barrio La Leona Honduras ,13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
154,@hugo_app puedo pedir desde la aplicación que me desbloquee Olimpia(?),2021-09-14 17:18:08,1437828022850174980,Adrian_G95,"Tegucigalpa,honduras",0,0,es,Twitter for Android,_app puedo pedir desde la aplicación que me desbloquee Olimpia(?),0.0,0.0
155,@hugo_app del lado correcto. 🇳🇱🦁 https://t.co/UslVWmPUSi,2021-09-14 17:17:54,1437827964448780297,destephen_j,Sol Sur,0,2,es,Twitter for Android,_app del lado correcto. 🇳🇱🦁 ,0.0,0.0
156,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:16:31,1437827613364559876,xavierHdz1912,Honduras,13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
157,@NacionOlimpista @hugo_app Imagínate un repartidor de Hugo en España entregándole la camisa a Luis Suárez,2021-09-14 17:16:23,1437827580229455874,daordonez1987,Estados Unidos,0,5,es,Twitter for Android, _app Imagínate un repartidor de Hugo en España entregándole la camisa a Luis Suárez,0.0,0.0
158,@owendidier Jajajaja a Soporte Tecnico de @hugo_app,2021-09-14 17:15:23,1437827329062064135,Danger_Format,,0,1,es,Twitter for Android, Jajajaja a Soporte Tecnico de _app,0.0,0.0
159,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:14:19,1437827060018389002,Dennis_Munoz13,,13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
160,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:12:47,1437826675220307984,hugo_app,Centroamérica y El Caribe,13,0,es,Twitter for iPhone,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
161,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:12:15,1437826542030229510,imcaceres5,"San Pedro Sula, Honduras",13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
162,@NacionOlimpista @hugo_app Debí comprar la camisa antes de ese parche jejejee,2021-09-14 17:11:59,1437826474187403266,Davisin90712124,,0,2,es,Twitter for Android, _app Debí comprar la camisa antes de ese parche jejejee,0.0,0.0
163,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:11:53,1437826450237923339,IssaSauceda24,HONDURAS,13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
164,"RT @Maximus2938: @NacionOlimpista @hugo_app Nación Olimpista  2
CM @CDOlimpia   0",2021-09-14 17:11:53,1437826448291676169,cherrygemsgigi,Honduras,2,0,es,Twitter for Android,":  _app Nación Olimpista  2
CM    0",0.0,0.0
165,RT @NacionOlimpista: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! @hugo_app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,2021-09-14 17:11:47,1437826424023420932,cherrygemsgigi,Honduras,13,0,es,Twitter for Android,: ¡OLIMPIA FIRMA NUEVO PATROCINADOR! _app se convierte en el nuevo representante en nuestra camiseta. ¡Acompañará l…,0.0,0.0
166,"@NacionOlimpista @hugo_app Nación Olimpista  2
CM @CDOlimpia   0",2021-09-14 17:10:58,1437826219865780226,Maximus2938,Honduras,2,22,es,Twitter for Android," _app Nación Olimpista  2
CM    0",0.0,0.0
